date,option_symbol,expiration,type,strike,bid,ask,iv,delta,gamma,theta,vega,rho,volume,open_interest,last,last_trade_time,spot
2025-12-15,AAPL251219P00240000,2025-12-19,P,240.0,0.02,0.05,0.4375,-0.0056,0.001,-0.0149,0.0064,-0.0003,1147.0,10626.0,0.03,2025-12-12T15:31:25,278.2799987792969
2025-12-15,AAPL251219P00242500,2025-12-19,P,242.5,0.02,0.07,0.4231,-0.0067,0.0012,-0.0168,0.0075,-0.0003,167.0,280.0,0.04,2025-12-12T15:58:33,278.2799987792969
2025-12-15,AAPL251219C00245000,2025-12-19,C,245.0,32.85,33.95,0.3746,0.992,0.0015,-0.0191,0.0089,0.0465,232.0,6735.0,33.47,2025-12-12T15:56:22,278.2799987792969
2025-12-15,AAPL251219P00245000,2025-12-19,P,245.0,0.03,0.07,0.4006,-0.0081,0.0015,-0.0191,0.0089,-0.0004,561.0,9889.0,0.05,2025-12-12T15:47:48,278.2799987792969
2025-12-15,AAPL251219P00247500,2025-12-19,P,247.5,0.04,0.08,0.3812,-0.0099,0.0018,-0.0219,0.0106,-0.0005,117.0,304.0,0.06,2025-12-12T15:25:39,278.2799987792969
2025-12-15,AAPL251219C00250000,2025-12-19,C,250.0,27.95,29.25,0.4248,0.9879,0.0023,-0.0253,0.0127,0.0472,1728.0,28479.0,28.29,2025-12-12T15:57:31,278.2799987792969
2025-12-15,AAPL251219P00250000,2025-12-19,P,250.0,0.05,0.06,0.349,-0.0122,0.0023,-0.0254,0.0127,-0.0006,669.0,16859.0,0.04,2025-12-12T15:59:43,278.2799987792969
2025-12-15,AAPL251219C00252500,2025-12-19,C,252.5,25.3,27.2,0.3913,0.9847,0.003,-0.0298,0.0156,0.0475,147.0,204.0,25.79,2025-12-12T15:24:15,278.2799987792969
2025-12-15,AAPL251219P00252500,2025-12-19,P,252.5,0.06,0.07,0.3279,-0.0155,0.003,-0.0299,0.0157,-0.0008,148.0,432.0,0.07,2025-12-12T14:48:27,278.2799987792969
2025-12-15,AAPL251219P00255000,2025-12-19,P,255.0,0.08,0.09,0.3113,-0.02,0.004,-0.0358,0.0195,-0.001,566.0,11657.0,0.09,2025-12-12T15:55:29,278.2799987792969
2025-12-15,AAPL251219P00257500,2025-12-19,P,257.5,0.1,0.12,0.2934,-0.0265,0.0054,-0.0439,0.0246,-0.0013,487.0,3516.0,0.11,2025-12-12T15:49:57,278.2799987792969
2025-12-15,AAPL251219C00260000,2025-12-19,C,260.0,18.4,18.9,0.2554,0.9642,0.0073,-0.0544,0.0317,0.0479,621.0,20285.0,18.4,2025-12-12T15:57:58,278.2799987792969
2025-12-15,AAPL251219P00260000,2025-12-19,P,260.0,0.14,0.16,0.2774,-0.0362,0.0074,-0.0548,0.0319,-0.0017,1405.0,12624.0,0.15,2025-12-12T15:59:19,278.2799987792969
2025-12-15,AAPL251219C00262500,2025-12-19,C,262.5,15.8,16.75,0.2636,0.9497,0.0102,-0.0692,0.0415,0.0476,101.0,403.0,15.75,2025-12-12T15:53:40,278.2799987792969
2025-12-15,AAPL251219P00262500,2025-12-19,P,262.5,0.2,0.22,0.2617,-0.051,0.0103,-0.0699,0.0418,-0.0024,3813.0,4173.0,0.22,2025-12-12T15:59:48,278.2799987792969
2025-12-15,AAPL251219C00265000,2025-12-19,C,265.0,13.65,14.15,0.2449,0.9278,0.0143,-0.089,0.0548,0.0469,590.0,19519.0,13.62,2025-12-12T15:57:57,278.2799987792969
2025-12-15,AAPL251219P00265000,2025-12-19,P,265.0,0.3,0.32,0.2489,-0.0729,0.0144,-0.0898,0.055,-0.0033,7107.0,15891.0,0.31,2025-12-12T15:59:58,278.2799987792969
2025-12-15,AAPL251219C00267500,2025-12-19,C,267.5,11.4,11.65,0.236,0.8947,0.02,-0.1143,0.072,0.0456,256.0,827.0,10.55,2025-12-12T15:54:30,278.2799987792969
2025-12-15,AAPL251219P00267500,2025-12-19,P,267.5,0.44,0.47,0.2354,-0.1063,0.0202,-0.1155,0.0723,-0.0048,2954.0,3997.0,0.47,2025-12-12T15:59:10,278.2799987792969
2025-12-15,AAPL251219C00270000,2025-12-19,C,270.0,9.15,9.35,0.2194,0.846,0.0274,-0.1444,0.0931,0.0434,1510.0,27692.0,9.23,2025-12-12T15:59:32,278.2799987792969
2025-12-15,AAPL251219P00270000,2025-12-19,P,270.0,0.69,0.72,0.2234,-0.1556,0.0277,-0.1461,0.0937,-0.0069,5344.0,15226.0,0.69,2025-12-12T15:59:59,278.2799987792969
2025-12-15,AAPL251219C00272500,2025-12-19,C,272.5,7.05,7.3,0.2115,0.7764,0.0364,-0.1763,0.1165,0.0401,560.0,958.0,6.7,2025-12-12T15:55:09,278.2799987792969
2025-12-15,AAPL251219P00272500,2025-12-19,P,272.5,1.04,1.1,0.2122,-0.2262,0.0369,-0.1787,0.1171,-0.0094,5166.0,4059.0,1.13,2025-12-12T15:58:02,278.2799987792969
2025-12-15,AAPL251219C00275000,2025-12-19,C,275.0,5.1,5.25,0.202,0.6816,0.0456,-0.2036,0.1383,0.0354,2884.0,21545.0,5.22,2025-12-12T15:59:43,278.2799987792969
2025-12-15,AAPL251219P00275000,2025-12-19,P,275.0,1.61,1.68,0.2015,-0.3225,0.0463,-0.2068,0.139,-0.0123,13463.0,20276.0,1.65,2025-12-12T15:59:57,278.2799987792969
2025-12-15,AAPL251219C00277500,2025-12-19,C,277.5,3.45,3.6,0.194,0.5622,0.0525,-0.2174,0.1523,0.0293,8276.0,7710.0,3.54,2025-12-12T15:59:56,278.2799987792969
2025-12-15,AAPL251219P00277500,2025-12-19,P,277.5,2.44,2.55,0.1931,-0.4443,0.0535,-0.2213,0.1522,-0.0163,10381.0,23502.0,2.48,2025-12-12T15:59:53,278.2799987792969
