,spread,beta,z_score,short,long,exit,close_1,close_2
2020-04-13,-18.640548204037657,0.8301962303434339,-1.9142001363312782,False,False,False,90.42141723632812,27.125905990600586
2020-04-14,-21.536025802805902,0.8321473934866352,-2.27226531422641,False,False,False,94.65923309326172,27.64242935180664
2020-04-15,-22.353922521716598,0.8392956094426653,-2.3453558791966924,False,False,False,93.11821746826172,25.42637062072754
2020-04-16,-21.98755155464874,0.8496701729085872,-2.2633258191882097,False,False,False,92.01496887207031,24.74322509765625
2020-04-17,-24.698934062499625,0.8432207736949924,-2.573338566822554,False,False,False,96.927001953125,26.067859649658203
2020-04-20,-20.690836401007203,0.8616730322677508,-2.0283613411869994,False,False,False,89.77349853515625,23.86846351623535
2020-04-21,-19.761724962831394,0.8835217716260408,-1.88711496694427,False,False,False,88.24999237060547,23.268625259399414
2020-04-22,-20.864149267831728,0.9024586143639326,-2.0026432849932774,False,False,False,89.58963012695312,23.168655395507812
2020-04-23,-19.615422881187563,0.9238741401212708,-1.8240850801995352,False,False,False,88.7228012084961,23.426921844482422
2020-04-24,-22.307596194938014,0.9372333575726555,-2.133503937492179,False,False,False,91.41960144042969,23.085342407226562
2020-04-27,-22.471656338680496,0.9485517499661937,-2.125032522170998,False,False,False,92.41776275634766,23.726835250854492
2020-04-28,-23.116480961110533,0.9557895645253844,-2.174194785222596,False,False,False,93.81867980957031,24.293346405029297
2020-04-29,-18.165846149139327,0.9668192430872865,-1.553410590798676,False,False,False,91.81360626220703,27.20921516418457
2020-04-30,-15.810321438416523,0.9841339655597243,-1.2561434483853653,False,False,False,89.28317260742188,26.95094871520996
2020-05-01,-15.658544426072979,1.0057170277815926,-1.2277263037140405,False,False,False,87.64581298828125,25.268075942993164
2020-05-04,-16.208833080006592,1.0257597120863413,-1.2836525445121538,False,False,False,88.21495819091797,25.084796905517578
2020-05-05,-17.126997684904005,1.0439073382823094,-1.3824955337585068,False,False,False,89.10806274414062,24.901508331298828
2020-05-06,-13.25362608042471,1.0695160365117862,-0.9093661228460637,False,False,True,84.53751373291016,23.685178756713867
2020-05-07,-13.847468741686562,1.0994231217141959,-0.9734434907083752,False,False,False,84.38865661621094,22.560487747192383
2020-05-08,-11.933572856049238,1.1258576191482024,-0.7378056438266546,False,False,False,85.220458984375,25.076465606689453
2020-05-11,-11.959373449264461,1.1512973428701052,-0.735224834359482,False,False,False,84.7388916015625,24.193378448486328
2020-05-12,-12.281277729537315,1.1772238001365452,-0.7678900930566713,False,False,False,84.3799057006836,23.126998901367188
2020-05-13,-12.795843775577325,1.2062487258876353,-0.8231763443222799,False,False,False,84.44119262695312,22.318891525268555
2020-05-14,-9.887801693056105,1.2357500664037309,-0.46920951885184126,False,False,False,83.08405303955078,23.185317993164062
2020-05-15,-9.641757238058872,1.2624947694920208,-0.4349073059619173,False,False,False,83.27666473388672,23.301952362060547
2020-05-18,-9.602397758779276,1.282575792718652,-0.4255483969589255,False,False,False,86.26239013671875,26.8759708404541
2020-05-19,-6.728283609280567,1.3005228377504152,-0.07608225241661543,False,False,False,84.31861877441406,27.017601013183594
2020-05-20,-9.704943191733733,1.3208061678243261,-0.4303943853200097,False,False,False,87.04169464111328,27.359169006347656
2020-05-21,-7.520858805379589,1.3388959643949376,-0.16290287361871658,False,False,False,85.61447143554688,27.434154510498047
2020-05-22,-7.998598026713054,1.355677233337027,-0.2165821975930502,False,False,False,86.60533905029297,28.08397674560547
2020-05-26,-5.4151247135106075,1.370633212490667,0.09968101958033661,False,False,False,85.96237182617188,29.608551025390625
