date,cash,value,SPY_qty,QQQ_qty,VEA_qty,EEM_qty,BIL_qty,GLD_qty,SPY,QQQ,VEA,EEM,BIL,GLD
2010-01-04,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,-118.12,9989.9,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,401.06,2700.0,300.17,1410.16,2099.54,3197.09
2010-01-06,-118.12,10029.68,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,401.34,2683.71,300.26,1413.11,2099.54,3249.84
2010-01-07,-118.12,10004.22,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,403.04,2685.46,299.66,1404.92,2099.54,3229.73
2010-01-08,-118.12,10058.08,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,404.38,2707.56,302.9,1416.06,2099.54,3245.76
2010-01-11,-118.12,10089.66,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,404.94,2696.51,304.78,1413.11,2099.54,3288.89
2010-01-12,-118.12,9957.24,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,401.16,2662.77,301.28,1390.49,2099.54,3220.11
2010-01-13,-118.12,10032.39,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,404.55,2695.93,304.1,1394.76,2100.46,3250.71
2010-01-14,-118.12,10047.73,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,405.65,2698.25,305.81,1391.15,2100.0,3264.99
2010-01-15,-118.12,9956.65,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,401.09,2666.85,300.85,1375.09,2100.0,3230.89
2010-01-19,-118.12,10055.14,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,406.11,2709.89,304.19,1402.95,2100.0,3250.13
2010-01-20,-118.12,9895.31,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,401.98,2670.92,296.41,1369.19,2100.0,3174.94
2010-01-21,-118.12,9769.36,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,394.25,2645.91,290.26,1327.89,2100.0,3129.18
2010-01-22,-118.12,9641.39,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,385.46,2568.55,283.77,1298.38,2100.0,3123.35
2010-01-25,-118.12,9675.28,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,387.44,2577.27,287.96,1307.89,2100.46,3132.39
2010-01-26,-118.12,9649.57,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,385.81,2579.6,286.42,1280.68,2100.46,3134.72
2010-01-27,-118.12,9638.32,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,387.65,2599.96,285.82,1277.41,2100.92,3104.7
2010-01-28,-118.12,9551.52,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,383.2,2533.07,281.12,1268.56,2100.46,3103.24
2010-01-29,-118.12,9469.82,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,379.03,2488.86,276.25,1254.79,2100.92,3088.09
2010-02-01,-118.12,9611.31,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,384.93,2516.2,281.55,1288.55,2100.46,3157.74
2010-02-02,-118.12,9676.88,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,389.59,2538.88,287.02,1299.04,2100.0,3180.47
2010-02-03,-118.12,9665.39,4.677508600014525,66.76491962048098,13.608392561924838,45.47542835157558,27.440039413793592,29.143897186337743,387.65,2552.84,282.66,1291.5,2100.92,3167.94
2010-02-04,-109.5,9384.0,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,469.46,2572.94,-7.35,1695.14,1907.38,2855.92
2010-02-05,-109.5,9396.32,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,470.43,2594.68,-7.28,1676.21,1907.38,2864.4
2010-02-08,-109.5,9340.09,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,467.04,2575.96,-7.22,1659.54,1907.38,2846.89
2010-02-09,-109.5,9463.86,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,472.9,2602.52,-7.43,1713.61,1907.38,2884.38
2010-02-10,-109.5,9445.11,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,471.98,2597.09,-7.39,1709.11,1907.38,2876.44
2010-02-11,-109.5,9589.29,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,476.92,2636.33,-7.45,1754.17,1907.38,2931.44
2010-02-12,-109.5,9569.8,5.845161531585408,69.29573048264244,-0.3681607315241635,62.51221290919291,24.912246243316613,27.363422104057403,476.52,2641.76,-7.43,1732.09,1907.38,2928.98
