earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker,pnl
2021-05-26,0.08,0.09,11.44,NVDA,0.148705839785299
2021-02-24,0.07,0.08,10.37,NVDA,-0.0755352957786691
2020-11-18,0.06,0.07,14.21,NVDA,0.1661906380183598
2020-08-19,0.05,0.05,10.66,NVDA,0.186421340785978
2020-05-21,0.04,0.05,6.86,NVDA,0.1676488428405722
2020-02-13,0.04,0.05,12.88,NVDA,0.0360852956344163
2026-02-05,1.94,,,AMZN,
2025-10-30,1.56,1.95,25.2,AMZN,-0.2766955762082374
2025-07-31,1.32,1.68,27.19,AMZN,-0.1638301831710171
2025-05-01,1.36,1.59,16.77,AMZN,0.2846675755995085
2025-02-06,1.48,1.86,25.36,AMZN,0.2890146702826769
2024-10-31,1.14,1.43,25.22,AMZN,0.0299894629391855
2024-08-01,1.02,1.26,23.76,AMZN,-0.152134691919494
2024-04-30,0.83,0.98,18.16,AMZN,0.3084534671080539
2024-02-01,0.8,1.0,24.44,AMZN,0.0219071129470585
2023-10-26,0.59,0.94,58.7,AMZN,0.1304187959597585
2023-08-03,0.34,0.65,91.19,AMZN,-0.0710867367781445
2023-04-27,0.21,0.31,44.29,AMZN,0.2789295798268073
2023-02-02,0.17,0.03,-82.2,AMZN,0.0433478589865387
2022-10-27,0.21,0.28,35.53,AMZN,-0.0010479253449474
2022-07-28,0.12,-0.2,-272.53,AMZN,-0.2249457155527742
2022-04-28,0.42,-0.38,-190.58,AMZN,-0.2297272542823867
2022-02-03,0.18,1.39,657.12,AMZN,-0.6053443794917374
2021-10-28,0.44,0.31,-31.21,AMZN,0.113981106597712
2021-07-29,0.61,0.76,23.06,AMZN,-0.2577205015237953
2021-04-29,0.48,0.79,64.11,AMZN,0.1786628024061289
2021-02-02,0.35,0.7,100.1,AMZN,0.2350613069059116
2020-10-29,0.37,0.62,66.17,AMZN,0.1008421203786927
2020-07-30,0.08,0.52,543.11,AMZN,0.0759042243762197
2020-04-30,0.31,0.25,-19.8,AMZN,0.0291306639148561
2020-01-30,0.2,0.32,62.82,AMZN,-0.6233154591698482
2026-01-28,0.45,,,TSLA,
2025-10-22,0.56,0.5,-10.53,TSLA,0.106229648948886
2025-07-23,0.4,0.4,-0.97,TSLA,0.0893621139175545
2025-04-22,0.35,0.12,-65.25,TSLA,0.0855009298756879
2025-01-29,0.77,0.73,-4.83,TSLA,0.11880509140316
2024-10-23,0.6,0.72,20.49,TSLA,-0.6775980463756021
2024-07-24,0.62,0.52,-16.15,TSLA,0.1949535958079034
2024-04-23,0.49,0.45,-8.14,TSLA,-0.0360377758480971
2024-01-24,0.74,0.71,-4.1,TSLA,-0.1071857412583414
2023-10-18,0.73,0.66,-9.81,TSLA,-0.112291813919078
2023-07-19,0.82,0.91,11.12,TSLA,0.1052389802675331
2023-04-19,0.85,0.85,-0.43,TSLA,-0.0318702494389733
2023-01-25,1.11,1.19,7.2,TSLA,-0.050588428982275
2022-10-19,1.0,1.05,5.23,TSLA,0.071593686164466
2022-07-20,0.6,0.76,26.89,TSLA,-0.028065244557199
2022-04-20,0.75,1.07,42.31,TSLA,-0.1423767114102329
2022-01-26,0.79,0.85,6.88,TSLA,0.094375232806974
2021-10-20,0.54,0.62,15.22,TSLA,0.0020232112476945
2021-07-26,0.32,0.48,49.86,TSLA,0.0925944156604527
2021-04-26,0.26,0.31,19.42,TSLA,0.1072995603173516
2021-01-27,0.35,0.27,-23.91,TSLA,0.1628723533825223
2020-10-21,0.2,0.25,25.78,TSLA,0.1537714137206835
2020-07-22,-0.01,0.15,1460.77,TSLA,0.26530287682997
2020-04-29,-0.01,0.08,650.29,TSLA,0.0906910686431212
2020-01-29,0.12,0.14,17.76,TSLA,0.0295342024484446
2026-01-28,8.17,,,META,
2025-10-29,6.67,7.25,8.66,META,-0.3036408942004652
2025-07-30,5.86,7.14,21.82,META,-0.436065446242212
2025-04-30,5.22,6.43,23.11,META,0.1063052308201714
2025-01-29,6.74,8.02,19.0,META,0.2625053429882512
2024-10-30,5.3,6.03,13.86,META,0.2530763899800447
2024-07-31,4.78,5.16,7.9,META,0.0892428882943141
2024-04-24,4.36,4.71,8.11,META,-0.1461383959470413
2024-02-01,4.97,5.33,7.23,META,-1.0678636849987662
2023-10-25,3.6,4.39,21.96,META,0.2365705718666294
2023-07-26,2.87,2.98,3.77,META,0.1945901158781664
2023-04-26,1.98,2.2,11.2,META,-0.313461640877375
2023-02-01,2.23,1.76,-21.14,META,-0.6452395324729169
2022-10-26,1.85,1.64,-11.32,META,-0.5214852496016846
2022-07-27,2.55,2.46,-3.56,META,0.3178745322306505
2022-04-27,2.53,2.72,7.57,META,-0.1284382853675336
2022-02-02,3.83,3.67,-4.06,META,-1.8381161772568189
2021-10-25,3.18,3.22,1.32,META,0.1767315451426605
